epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.215,2.03885,2.46357,1.51126,0.51463,0.43926,0.46357,0.19212,1.89204,1.90719,1.41752,0.000553164,0.000553164,0.000553164
2,426.832,1.83418,1.7948,1.3936,0.42232,0.52506,0.41906,0.13692,2.16037,1.95433,1.58676,0.00109785,0.00109785,0.00109785
3,624.058,1.82196,1.72354,1.39195,0.49238,0.49728,0.49537,0.17763,2.10844,2.05596,1.64622,0.00163154,0.00163154,0.00163154
4,828.369,1.77631,1.61911,1.37762,0.55442,0.54185,0.49559,0.18238,2.11433,1.74288,1.56345,0.00161749,0.00161749,0.00161749
5,1027.17,1.73548,1.5311,1.35672,0.65821,0.61522,0.6141,0.22033,2.06725,1.50982,1.54558,0.00160099,0.00160099,0.00160099
6,1222.98,1.69809,1.48012,1.33702,0.66034,0.64511,0.6339,0.2966,1.8189,1.38084,1.40615,0.00158448,0.00158448,0.00158448
7,1417.47,1.69265,1.43147,1.3361,0.67229,0.57309,0.59817,0.22778,2.03847,1.56665,1.52458,0.00156798,0.00156798,0.00156798
8,1612.17,1.67225,1.40308,1.31446,0.60614,0.56739,0.54404,0.20793,2.16364,1.48808,1.59419,0.00155148,0.00155148,0.00155148
9,1810.48,1.65308,1.35573,1.30405,0.62977,0.59837,0.59881,0.2044,2.21092,1.54546,1.61456,0.00153497,0.00153497,0.00153497
10,2011.01,1.64126,1.32268,1.29561,0.63627,0.52325,0.5485,0.22793,2.02605,1.70974,1.49627,0.00151847,0.00151847,0.00151847
11,2212.43,1.63472,1.3167,1.29427,0.65041,0.60543,0.62595,0.27018,1.94692,1.46793,1.43061,0.00150197,0.00150197,0.00150197
12,2415.27,1.62055,1.26856,1.27641,0.63757,0.59763,0.62265,0.24951,2.06623,1.33734,1.49437,0.00148546,0.00148546,0.00148546
13,2627.13,1.6041,1.24322,1.27352,0.70752,0.59578,0.6585,0.2496,2.11902,1.32164,1.54836,0.00146896,0.00146896,0.00146896
14,2840.56,1.5965,1.22506,1.272,0.6377,0.6639,0.63322,0.25651,1.99845,1.42986,1.49574,0.00145246,0.00145246,0.00145246
15,3036.66,1.59234,1.21689,1.26567,0.64965,0.6738,0.65684,0.29209,1.90228,1.33347,1.40677,0.00143595,0.00143595,0.00143595
16,3224.65,1.57917,1.19873,1.25601,0.69799,0.6875,0.67282,0.22757,2.30259,1.33002,1.64924,0.00141945,0.00141945,0.00141945
