epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.032,2.06533,2.5454,1.51629,0.60136,0.50324,0.51136,0.20705,1.8782,1.92354,1.39889,0.000474188,0.000474188,0.000474188
2,381.086,1.82841,1.79131,1.37511,0.44753,0.49185,0.42859,0.1437,2.09462,1.96817,1.51387,0.000941111,0.000941111,0.000941111
3,567.528,1.8009,1.70536,1.37173,0.8406,0.34259,0.50656,0.21702,1.8821,2.07388,1.42952,0.0013986,0.0013986,0.0013986
4,761.962,1.7518,1.59339,1.35741,0.50547,0.56119,0.54235,0.19664,2.08036,1.66629,1.516,0.00138656,0.00138656,0.00138656
5,959.342,1.72883,1.51531,1.34267,0.59874,0.52446,0.52652,0.21035,1.9857,1.65311,1.47752,0.00137241,0.00137241,0.00137241
6,1148.5,1.6975,1.46379,1.32285,0.65053,0.64374,0.64933,0.28492,1.87246,1.41919,1.39956,0.00135826,0.00135826,0.00135826
7,1344.82,1.68638,1.42162,1.31813,0.64354,0.62053,0.59218,0.21133,2.16859,1.49968,1.58832,0.00134412,0.00134412,0.00134412
8,1545.51,1.66665,1.37849,1.30398,0.62014,0.52283,0.53528,0.20777,2.07216,1.51474,1.53201,0.00132997,0.00132997,0.00132997
9,1752.16,1.63778,1.3491,1.28695,0.64519,0.61196,0.58397,0.20801,2.18311,1.53361,1.58927,0.00131582,0.00131582,0.00131582
10,1950.34,1.63479,1.31515,1.28552,0.63474,0.65928,0.63465,0.22801,2.14137,1.40004,1.55123,0.00130168,0.00130168,0.00130168
11,2157.91,1.62195,1.29299,1.27944,0.63237,0.62283,0.6353,0.2622,1.98065,1.39113,1.41151,0.00128753,0.00128753,0.00128753
12,2363.33,1.62527,1.26102,1.27212,0.64933,0.62215,0.6125,0.23615,2.07139,1.39424,1.46962,0.00127338,0.00127338,0.00127338
13,2562.04,1.58914,1.22073,1.25868,0.5936,0.64235,0.63445,0.24775,2.08713,1.31963,1.49208,0.00125923,0.00125923,0.00125923
14,2761.47,1.58673,1.20763,1.25799,0.62453,0.65054,0.61729,0.24127,2.06055,1.37265,1.50852,0.00124509,0.00124509,0.00124509
15,3015.8,1.58976,1.20546,1.25767,0.6933,0.69674,0.70118,0.31313,1.83049,1.21037,1.34386,0.00123094,0.00123094,0.00123094
16,3218.79,1.57053,1.19463,1.24612,0.67483,0.6663,0.67121,0.26505,2.07909,1.27996,1.50572,0.00121679,0.00121679,0.00121679
17,3424.86,1.55885,1.15974,1.24321,0.72601,0.68849,0.70923,0.28189,2.04866,1.20639,1.46974,0.00120265,0.00120265,0.00120265
18,3631.7,1.56465,1.17518,1.24917,0.62032,0.67417,0.65841,0.25064,2.09063,1.29644,1.48774,0.0011885,0.0011885,0.0011885
19,3862.97,1.54917,1.14745,1.23819,0.67848,0.66793,0.67427,0.27281,2.01845,1.30628,1.47127,0.00117435,0.00117435,0.00117435
20,4060.64,1.55165,1.13521,1.23575,0.64952,0.68696,0.67183,0.27486,1.95918,1.21991,1.4201,0.00116021,0.00116021,0.00116021
21,4248.88,1.53538,1.12612,1.2313,0.69329,0.67391,0.68849,0.31014,1.87921,1.18759,1.38979,0.00114606,0.00114606,0.00114606
22,4439.12,1.53715,1.10842,1.22754,0.69667,0.64022,0.65758,0.29573,1.85685,1.25891,1.35232,0.00113191,0.00113191,0.00113191
23,4639.69,1.5169,1.08523,1.2181,0.68406,0.63859,0.64989,0.27659,1.94156,1.29723,1.44249,0.00111776,0.00111776,0.00111776
24,4841.54,1.50934,1.09614,1.21534,0.71924,0.63991,0.68654,0.27609,2.01658,1.2105,1.43866,0.00110362,0.00110362,0.00110362
25,5052.87,1.49723,1.06594,1.20761,0.73661,0.65714,0.70597,0.28237,2.0721,1.1853,1.4737,0.00108947,0.00108947,0.00108947
